team,qualify_%,quarterfinal_%,semifinal_%,final_%,win_%
England,93.6,51.5,36.3,24.4,16.1
France,95.4,46.4,30.8,20.4,12.6
Uruguay,90.2,47.7,31.9,19.4,11.6
Spain,94.1,46.6,30.7,18.9,11.1
Brazil,97.0,41.2,25.3,14.1,6.8
Netherlands,95.7,38.5,21.6,11.9,6.2
Mexico,94.1,36.1,20.8,10.9,5.9
Argentina,94.2,37.1,20.8,11.1,5.2
Portugal,93.4,34.3,18.0,8.6,3.6
Belgium,95.9,35.3,18.2,8.1,3.3
Sweden,87.4,28.2,13.8,5.7,2.2
Switzerland,91.5,26.2,11.8,5.2,2.2
Ecuador,90.2,27.7,12.9,5.6,2.1
Morocco,95.4,26.7,12.0,4.4,1.5
Germany,76.2,16.8,7.7,3.4,1.5
United States,96.6,24.0,9.8,3.8,1.2
Austria,72.6,15.5,5.7,2.1,0.8
South Korea,72.1,15.9,6.3,2.3,0.7
Croatia,71.5,16.2,6.2,2.2,0.6
Japan,70.3,12.7,4.3,1.6,0.5
Canada,91.0,13.8,4.9,1.6,0.5
Senegal,69.4,14.1,4.8,1.7,0.4
Norway,57.8,10.0,3.2,1.2,0.4
Turkey,77.2,13.7,4.8,1.5,0.4
Czech Republic,65.5,13.0,5.1,1.8,0.4
Algeria,58.0,10.6,3.6,1.3,0.4
Ghana,50.4,8.1,2.9,0.8,0.3
South Africa,57.9,9.2,3.2,1.2,0.3
Colombia,66.6,9.3,2.8,0.7,0.2
Paraguay,69.9,9.1,2.6,0.7,0.2
Ivory Coast,76.2,11.8,3.4,0.9,0.2
Egypt,83.3,8.9,2.9,0.6,0.1
Cura?o,45.2,3.6,1.1,0.3,0.1
New Zealand,45.4,3.2,1.0,0.3,0.1
Australia,44.8,4.3,1.3,0.4,0.1
Uzbekistan,30.9,3.3,1.0,0.2,0.1
Panama,13.8,1.4,0.4,0.0,0.0
Iran,48.0,2.8,0.6,0.0,0.0
DR Congo,36.9,2.8,0.9,0.2,0.0
Scotland,56.0,3.4,0.6,0.1,0.0
Iraq,21.6,1.0,0.3,0.0,0.0
Qatar,61.7,3.4,0.7,0.1,0.0
Tunisia,30.2,2.8,0.6,0.1,0.0
Saudi Arabia,49.2,4.8,1.2,0.2,0.0
Cape Verde,24.5,1.2,0.2,0.0,0.0
Bosnia and Herzegovina,47.0,2.0,0.4,0.1,0.0
Jordan,9.9,0.4,0.0,0.0,0.0
Haiti,44.2,3.3,0.7,0.1,0.0
